ID,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls,LaLiga or Prem
016ff750,Valentino-Lazaro,Austria,1996,11,7,"['1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League', '1. Serie A', '1. Bundesliga', '1. Primeira Liga', '1. Serie A']","['2nd', '1st', '1st', '1st', '1st', '10th', '11th', '13th', '2nd', '8th', '3rd', '10th']",211,19.0,1
017018d1,Fabian-Holland,Germany,1990,12,2,"['1. Bundesliga', '2. 2. Bundesliga', '1. Bundesliga', '2. 2. Bundesliga', '1. Bundesliga', '1. Bundesliga', '2. 2. Bundesliga', '2. 2. Bundesliga', '2. 2. Bundesliga', '2. 2. Bundesliga', '2. 2. Bundesliga', '2. 2. Bundesliga']","['16th', '1st', '11th', '2nd', '14th', '18th', '10th', '10th', '5th', '7th', '4th', '2nd']",261,6.0,0
0170fb91,Samba-Sow,Mali,1989,13,5,"['1. Ligue 1', '1. Ligue 1', '2. Ligue 2', '2. Ligue 2', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '2. Championship', '1. Ligue 1']","['11th', '19th', '12th', '12th', '7th', '16th', '15th', '15th', '8th', '12th', '6th', '7th', '17th', '7th']",261,5.0,1
0172d6cc,Yann-Kermorgant,France,1981,9,5,"['2. Championship', '1. Ligue 1', '3. League One', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '2. Championship', '2. Championship']","['5th', '20th', '1st', '9th', '18th', '10th', '1st', '16th', '17th', '3rd', '20th']",280,80.0,1
0174ba21,Robin-Hack,Germany,1998,6,4,"['Jr. U19 Bundesliga', '1. Bundesliga', '2. 2. Bundesliga', '2. 2. Bundesliga', '2. 2. Bundesliga', '1. Bundesliga', '2. 2. Bundesliga']","['12th', '3rd', '16th', '11th', '8th', '17th', '18th']",120,35.0,0
017917e6,Christofer-Heimeroth,Germany,1981,11,2,"['1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '2. 2. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga']","['7th', '2nd', '4th', '18th', '1st', '15th', '12th', '16th', '8th', '3rd', '4th']",76,0.0,0
017ab4d4,Arda-Turan,Turkey,1987,17,5,"['1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig']","['12th', '3rd', '1st', '5th', '3rd', '8th', '5th', '3rd', '1st', '3rd', '1st', '2nd', '1st', '3rd', '2nd', '1st', '2nd', '13th']",377,52.0,1
01834aa0,Sebastiaan-Bornauw,Belgium,1999,6,3,"['1. First Division A', '1. First Division A', '1. First Division A', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga']","['3rd', '6th', '8th', '14th', '16th', '12th', '13th']",108,9.0,0
01870104,Mohamed-Lamine-Bayo,Guinea,1998,4,2,"['2. Ligue 2', '2. Ligue 2', '1. Ligue 1', '1. Ligue 1']","['10th', '2nd', '17th', '7th']",81,36.0,0
018ce429,Rayco-Garcia-Dauta,Spain,1987,4,4,"['2. Segunda División', '1. La Liga', '2. Segunda División', '2. Segunda División']","['19th', '15th', '15th', '3rd']",55,4.0,1
01962d0d,Joe-Gelhardt,England,2002,5,4,"['2. Championship', '2. Championship', '1. Premier League', 'Jr. PL2 — Div. 2', 'Jr. PL2 — Div. 1', '1. Premier League', '1. Premier League', 'Jr. PL2 — Div. 2']","['18th', '23rd', '9th', '1st', '13th', '17th', '14th', '1st']",72,21.0,1
019f4d0d,Leandro-Castan,Brazil,1986,12,6,"['1. Allsvenskan', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Série A', '1. Série A', '1. Série A', '2. Série B', '2. Série B']","['8th', '6th', '2nd', '2nd', '3rd', '9th', '16th', '3rd', '16th', '12th', '17th', '10th', '12th']",207,3.0,0
01a49bd2,Lisandro-Magallan,Argentina,1993,10,6,"['1. Primera Div', '1. Primera Div', '1. Primera Div', '1. Primera Div', '1. Primera Div', '1. Primera Div', '1. Eredivisie', '1. Eredivisie', '1. La Liga', '1. Serie A', '1. First Division A', '1. Eredivisie', '1. Eredivisie']","['5th', '1st', '4th', '1st', '1st', '3rd', '1st', '1st', '16th', '19th', '3rd', '1st', '2nd']",135,5.0,1
01ae64cd,Aythami-Artiles,Spain,1986,15,4,"['2. Segunda División', '1. La Liga', '2. Segunda División', '2. Segunda División', '1. La Liga', '1. La Liga', '2. Segunda División', '1. La Liga', '2. Segunda División', '2. Segunda División', '1. La Liga', '1. La Liga', '1. La Liga', '2. Segunda División', '2. Segunda División', '2. Segunda División', '2. Segunda División', '2. Segunda División']","['18th', '9th', '15th', '1st', '20th', '18th', '1st', '19th', '6th', '4th', '11th', '14th', '19th', '16th', '21st', '12th', '9th', '9th']",372,25.0,1
01b63256,Pavle-Ninkov,Serbia,1985,10,3,"['1. SuperLiga', '1. SuperLiga', '1. SuperLiga', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. SuperLiga']","['3rd', '2nd', '2nd', '8th', '10th', '9th', '17th', '17th', '13th', '11th']",190,4.0,0
