ID,Community,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls
3f10ad0c,2,Jaba-Kankava,Georgia,1986,13,6,4,"['15th', '12th', '14th', '4th', '4th', '6th', '13th', '10th', '7th', '4th', '2nd', '3rd', '3rd', '18th', '7th', '11th']",230,10.0
3f10bd22,3,Jesus-Navas,Spain,1985,20,2,2,"['6th', '6th', '5th', '3rd', '5th', '3rd', '4th', '5th', '9th', '9th', '1st', '2nd', '4th', '3rd', '7th', '6th', '4th', '4th', '4th', '18th']",569,29.0
3f1107d5,4,Antonio-Cioffi,Italy,2002,2,1,1,"['5th', '3rd']",1,0.0
3f1a7191,2,Gaetan-Belaud,France,1986,12,4,2,"['11th', '15th', '16th', '17th', '17th', '6th', '10th', '5th', '5th', '2nd', '14th', '5th']",302,4.0
3f2d59fe,3,Shkodran-Mustafi,Germany,1992,12,5,6,"['6th', '14th', '12th', '4th', '12th', '12th', '5th', '6th', '5th', '8th', '8th', '18th', '19th', '17th']",243,17.0
3f30b506,0,Dominic-Maroh,Slovenia,1987,12,3,3,"['3rd', '16th', '6th', '10th', '5th', '1st', '12th', '9th', '5th', '18th', '11th', '13th']",260,9.0
3f319bb9,2,Rasmus-Nicolaisen,Denmark,1997,7,3,4,"['4th', '1st', '2nd', '1st', '8th', '2nd', '2nd', '1st', '11th']",108,9.0
3f332fc1,4,Adrian-Calello,Argentina,1987,13,7,4,"['1st', '1st', '1st', '1st', '1st', '19th', '16th', '22nd', '11th', '14th', '29th', '4th', '16th', '21st']",203,5.0
3f359b33,0,Domagoj-Vida,Croatia,1989,16,6,5,"['3rd', '7th', '5th', '2nd', '1st', '1st', '3rd', '4th', '1st', '1st', '2nd', '2nd', '4th', '3rd', '3rd', '1st', '6th', '2nd']",371,37.0
3f3a2cba,2,Moustapha-Mbow,Senegal,2000,3,3,3,"['14th', '9th', '12th', '15th', '14th']",16,1.0
3f5b4635,2,Daniel-Congre,France,1985,19,3,2,"['13th', '16th', '3rd', '17th', '4th', '14th', '8th', '8th', '9th', '15th', '7th', '12th', '15th', '10th', '6th', '8th', '8th', '11th', '14th']",535,16.0
3f5e6201,0,Andreas-Ibertsberger,Austria,1982,10,4,2,"['7th', '9th', '18th', '4th', '4th', '5th', '2nd', '7th', '11th', '11th', '11th', '11th']",227,5.0
3f5f38fb,4,Nicolo-Casale,Italy,1998,5,5,2,"['8th', '11th', '1st', '10th', '9th', '4th']",83,1.0
3f65898c,0,Theodor-Gebre-Selassie,Czech Republic,1986,14,2,2,"['9th', '7th', '1st', '14th', '12th', '10th', '13th', '8th', '11th', '8th', '16th', '17th', '9th', '6th']",388,31.0
3f68d948,2,Banel-Nicolita,Romania,1985,11,5,2,"['2nd', '2nd', '6th', '4th', '5th', '3rd', '7th', '5th', '4th', '13th', '11th', '5th', '14th']",243,26.0
3f70db80,1,Kristoffer-Klaesson,Norway,2000,6,4,4,"['6th', '10th', '3rd', '7th', '13th', '17th', '14th', '1st']",79,0.0
3f718f87,4,Emerson,Brazil,1980,5,2,2,"['10th', '3rd', '20th', '9th', '20th']",152,9.0
3f79a1c8,3,Gonzalo-Escalante,Argentina,1993,9,5,3,"['22nd', '14th', '10th', '9th', '12th', '14th', '6th', '5th', '20th', '19th']",222,16.0
3f7cd8f1,0,Philipp-Bargfrede,Germany,1989,12,1,1,"['3rd', '13th', '9th', '14th', '12th', '10th', '13th', '8th', '11th', '8th', '16th', '17th']",206,6.0
3f866377,0,Christoph-Metzelder,Germany,1980,12,3,2,"['3rd', '1st', '3rd', '7th', '7th', '9th', '1st', '2nd', '2nd', '14th', '3rd', '4th']",200,4.0
3f88e2f2,2,Jires-Kembo-Ekoko,France,1988,9,2,2,"['4th', '6th', '7th', '9th', '6th', '6th', '13th', '13th', '16th']",136,20.0
3f8ef948,1,Sam-Ricketts,Wales,1981,14,7,5,"['8th', '3rd', '6th', '21st', '3rd', '17th', '14th', '14th', '18th', '7th', '1st', '7th', '4th', '8th', '23rd']",404,6.0
3f944dad,2,Guillaume-Gillet,Belgium,1984,16,8,7,"['4th', '6th', '2nd', '2nd', '1st', '3rd', '1st', '1st', '1st', '12th', '2nd', '14th', '7th', '9th', '3rd', '5th', '2nd', '13th', '6th', '3rd']",508,62.0
3faa1780,0,Lukas-Rupp,Germany,1991,13,6,4,"['10th', '15th', '5th', '4th', '8th', '6th', '18th', '17th', '4th', '3rd', '9th', '6th', '20th', '1st', '20th']",232,19.0
3fb23267,2,Jean-Ambrose,Haiti,1993,2,2,2,"['11th', '14th']",11,0.0
3fb33d66,0,Mike-Steven-Bahre,Germany,1995,7,4,5,"['13th', '18th', '2nd', '13th', '7th', '2nd', '21st', '17th', '12th']",106,3.0
3fc45c73,3,Inigo-Martinez,Spain,1991,12,2,1,"['12th', '4th', '7th', '12th', '9th', '6th', '12th', '16th', '8th', '11th', '10th', '8th', '3rd']",346,22.0
3fcab3a8,1,Robin-van-Persie,Netherlands,1983,18,4,3,"['3rd', '3rd', '3rd', '2nd', '4th', '4th', '3rd', '4th', '3rd', '4th', '3rd', '1st', '7th', '4th', '2nd', '3rd', '2nd', '4th', '3rd']",435,204.0
3fe1a074,4,Nicola-Strambelli,Italy,1988,3,1,2,"['14th', '11th', '20th']",23,1.0
3fe6bd8c,1,Paul-Dummett,Wales,1991,12,3,4,"['8th', '11th', '10th', '15th', '18th', '1st', '10th', '10th', '13th', '13th', '13th', '12th', '11th', '6th']",234,5.0
3fe72775,4,Fabio-Liverani,Italy,1976,11,4,1,"['11th', '8th', '6th', '4th', '6th', '13th', '16th', '6th', '4th', '8th', '5th', '8th']",288,10.0
